province,harvest_area,productivity,production,year
ACEH,3295157800.0000005,5649,1861567100,2018
SUMATERA UTARA,4081764500,5165,2108284720.0000002,2018
SUMATERA BARAT,3130508200,4737,1483076480,2018
RIAU,714480800,3728,266375530.00000003,2018
JAMBI,862026799.9999999,4444,383045740,2018
SUMATERA SELATAN,5815746100,5148,2994191840,2018
BENGKULU,658911600,4383,288810520,2018
LAMPUNG,5119409300,4861,2488641910,2018
KEP. BANGKA BELITUNG,172335900,2653,45724690,2018
KEP. RIAU,3758700,2919,1097000,2018
DKI JAKARTA,6733700,7276.000000000001,4899140,2018
JAWA BARAT,17072538100,5651,9647358750,2018
JAWA TENGAH,18219831700,5763,10499588230,2018
DI YOGYAKARTA,939564500,5481,514935490,2018
JAWA TIMUR,17511916700,5826,10203213170,2018
BANTEN,3448360600,4894,1687783300,2018
BALI,1109783700,6011,667069060,2018
NUSA TENGGARA BARAT,2892425900.0000005,5049,1460338810,2018
NUSA TENGGARA TIMUR,2182329100,4124,899935880,2018
KALIMANTAN BARAT,2864760300.0000005,2792,799715210,2018
KALIMANTAN TENGAH,1475716900,3488.0000000000005,514769050,2018
KALIMANTAN SELATAN,3230912100,4109,1327492410,2018
KALIMANTAN TIMUR,649611600,4045.0000000000005,262773880,2018
KALIMANTAN UTARA,137070000,3288.0000000000005,45063530,2018
SULAWESI UTARA,703526200,4647,326929740,2018
SULAWESI TENGAH,2012792400,4605,926978660,2018
SULAWESI SELATAN,11854841000,5021,5952616450,2018
SULAWESI TENGGARA,1366737500,3943,538876140,2018
GORONTALO,566316400,4760,269540400,2018
SULAWESI BARAT,653037800,4846,316478370,2018
MALUKU,290521400,4001,116228860,2018
MALUKU UTARA,134127500,3657,49047110,2018
PAPUA BARAT,77670100,3215,24967130,2018
PAPUA BARAT DAYA,NA,NA,NA,2018
PAPUA,524119500,4257,223119420,2018
PAPUA SELATAN,NA,NA,NA,2018
PAPUA TENGAH,NA,NA,NA,2018
PAPUA PEGUNUNGAN,NA,NA,NA,2018
ACEH,3100124600,5530,1714437600,2019
SUMATERA UTARA,4131412400,5032,2078901590,2019
SUMATERA BARAT,3116712300,4758,1482996010,2019
RIAU,631420400,3656,230873970,2019
JAMBI,695360600,4457,309932680,2019
SUMATERA SELATAN,5393165200,4827,2603396240,2019
BENGKULU,644068600,4603,296472070,2019
LAMPUNG,4641034200,4663,2164089330,2019
KEP. BANGKA BELITUNG,170878100,2856,48805680,2019
KEP. RIAU,3562700,3229.9999999999995,1150800,2019
DKI JAKARTA,6225900,5396,3359310,2019
JAWA BARAT,15788357000,5754,9084957220,2019
JAWA TENGAH,16784792100,5753,9655653980,2019
DI YOGYAKARTA,1114773600,4786,533477400,2019
JAWA TIMUR,17024263600.000002,5628,9580933880,2019
BANTEN,3037318000,4841,1470503350,2019
BALI,953193400,6078,579320530,2019
NUSA TENGGARA BARAT,2816660400,4978,1402182390,2019
NUSA TENGGARA TIMUR,1988674100,4082,811724180,2019
KALIMANTAN BARAT,2900484400,2923,847875130,2019
KALIMANTAN TENGAH,1461445100,3035,443561330,2019
KALIMANTAN SELATAN,3562459500,3769,1342861820,2019
KALIMANTAN TIMUR,697077500,3640.9999999999995,253818370,2019
KALIMANTAN UTARA,102947000,3240,33357190.000000004,2019
SULAWESI UTARA,620203900,4479,277776310,2019
SULAWESI TENGAH,1861004400,4540,844904300,2019
SULAWESI SELATAN,10101887500,5003,5054166960,2019
SULAWESI TENGGARA,1323438599.9999998,3927.0000000000005,519706930,2019
GORONTALO,490099500,4718,231211110,2019
SULAWESI BARAT,625814700,4796,300142220,2019
MALUKU,259768500,3782,98254750,2019
MALUKU UTARA,117005000,3243,37945640,2019
PAPUA BARAT,71921500,4163,29943560,2019
PAPUA BARAT DAYA,NA,NA,NA,2019
PAPUA,541317200,4348,235339510,2019
PAPUA SELATAN,NA,NA,NA,2019
PAPUA TENGAH,NA,NA,NA,2019
PAPUA PEGUNUNGAN,NA,NA,NA,2019
ACEH,3178694099.9999995,5528,1757313070,2020
SUMATERA UTARA,3885912199.9999995,5251,2040500190,2020
SUMATERA BARAT,2956644699.9999995,4692,1387269290,2020
RIAU,647331300,3764,243685040,2020
JAMBI,847729299.9999999,4558,386413490,2020
SUMATERA SELATAN,5513207600,4975,2743059680,2020
BENGKULU,641372800,4566,292834040,2020
LAMPUNG,5451490500,4862,2650289640,2020
KEP. BANGKA BELITUNG,178405500,3213.0000000000005,57324320,2020
KEP. RIAU,2985200,2856,852540,2020
DKI JAKARTA,9145100,4969,4543930,2020
JAWA BARAT,15868886299.999998,5682,9016772580,2020
JAWA TENGAH,16669314900,5693,9489164620,2020
DI YOGYAKARTA,1105481200,4735,523395950,2020
JAWA TIMUR,17543803000,5668,9944538260,2020
BANTEN,3253332400,5088,1655170090,2020
BALI,909806900,5849,532168449.99999994,2020
NUSA TENGGARA BARAT,2734608200,4817,1317189810,2020
NUSA TENGGARA TIMUR,1816906300,3990,725024300,2020
KALIMANTAN BARAT,2565754300,3033,778170360,2020
KALIMANTAN TENGAH,1432750500,3196,457952000,2020
KALIMANTAN SELATAN,2898363500,3969,1150306660,2020
KALIMANTAN TIMUR,735684400,3567,262434520.00000003,2020
KALIMANTAN UTARA,98830500,3397,33574280,2020
SULAWESI UTARA,618278600,4025,248879480,2020
SULAWESI TENGAH,1780669400,4449,792248840,2020
SULAWESI SELATAN,9762581400,4823,4708464970,2020
SULAWESI TENGGARA,1336971500,3985,532773490,2020
GORONTALO,486863399.99999994,4675,227627200,2020
SULAWESI BARAT,648261800,5323,345050370,2020
MALUKU,286682200,3853,110447300,2020
MALUKU UTARA,103019100,4211,43382850,2020
PAPUA BARAT,75706300,3220.0000000000005,24378330,2020
PAPUA BARAT DAYA,NA,NA,NA,2020
PAPUA,527275199.99999994,3148,166002300,2020
PAPUA SELATAN,NA,NA,NA,2020
PAPUA TENGAH,NA,NA,NA,2020
PAPUA PEGUNUNGAN,NA,NA,NA,2020
ACEH,2970583800,5503,1634639600,2021
SUMATERA UTARA,3854050000,5200,2004142510,2021
SUMATERA BARAT,2723919500,4836,1317209380,2021
RIAU,530623500,4098,217458870,2021
JAMBI,644122600,4629,298149250,2021
SUMATERA SELATAN,4962416500,5144,2552443190,2021
BENGKULU,557046900,4867,271117190,2021
LAMPUNG,4895732300,5077,2485452780,2021
KEP. BANGKA BELITUNG,182782700,3857,70496250,2021
KEP. RIAU,2701600.0000000005,3165,855010,2021
DKI JAKARTA,5599700,5803,3249470,2021
JAWA BARAT,16041093100,5681,9113573080,2021
JAWA TENGAH,16967123600.000002,5669,9618656810,2021
DI YOGYAKARTA,1075061600,5177,556531030,2021
JAWA TIMUR,17474812000,5602,9789587670,2021
BANTEN,3182484600,5038,1603247000,2021
BALI,1052013100,5883,618910810,2021
NUSA TENGGARA BARAT,2762118800,5139,1419559840,2021
NUSA TENGGARA TIMUR,1749000700,4185,731877740,2021
KALIMANTAN BARAT,2231657400,3190,711898010,2021
KALIMANTAN TENGAH,1258700500,3028,381189550,2021
KALIMANTAN SELATAN,2542635900,3997,1016313550,2021
KALIMANTAN TIMUR,662694600.0000001,3692,244677960,2021
KALIMANTAN UTARA,88808300,3374,29967310,2021
SULAWESI UTARA,591825200,3935,232884760,2021
SULAWESI TENGAH,1821866200,4759,867012770,2021
SULAWESI SELATAN,9851582300,5167,5090637230,2021
SULAWESI TENGGARA,1275172900,4157,530029079.99999994,2021
GORONTALO,487135000,4812,234392860,2021
SULAWESI BARAT,597631800,5205,311072460,2021
MALUKU,283197500,4124,116803670,2021
MALUKU UTARA,77819600,3604.9999999999995,28050800,2021
PAPUA BARAT,64149399.99999999,4198,26926930,2021
PAPUA BARAT DAYA,NA,NA,NA,2021
PAPUA,649849000,4405,286279800,2021
PAPUA SELATAN,NA,NA,NA,2021
PAPUA TENGAH,NA,NA,NA,2021
PAPUA PEGUNUNGAN,NA,NA,NA,2021
ACEH,2717502000,5555,1509456000,2022
SUMATERA UTARA,4114621000,5076,2088584000,2022
SUMATERA BARAT,2718831000,5052,1373532000,2022
RIAU,510540400,4183,213557200,2022
JAMBI,605395900,4588,277743800,2022
SUMATERA SELATAN,5133782000,5406,2775069000,2022
BENGKULU,571518400,4927,281610100,2022
LAMPUNG,5182561000,5187,2688160000,2022
KEP. BANGKA BELITUNG,151078000,4065.9999999999995,61425070,2022
KEP. RIAU,1794800,2824,506910,2022
DKI JAKARTA,4772500,4898,2337770,2022
JAWA BARAT,16624040000,5675,9433723000,2022
JAWA TENGAH,16886700000,5541,9356445000,2022
DI YOGYAKARTA,1109272000,5064,561699500,2022
JAWA TIMUR,16932110000,5626,9526516000,2022
BANTEN,3372407000,5304,1788583000,2022
BALI,1123206000,6059,680601600,2022
NUSA TENGGARA BARAT,2700929000,5379,1452945000,2022
NUSA TENGGARA TIMUR,1830920000,4129,756049900,2022
KALIMANTAN BARAT,2414786000,3028,731225800,2022
KALIMANTAN TENGAH,1082268000,3178,343918800,2022
KALIMANTAN SELATAN,2149089000,3813.0000000000005,819419200,2022
KALIMANTAN TIMUR,649700100,3685,239425300,2022
KALIMANTAN UTARA,86041900,3549,30533590,2022
SULAWESI UTARA,581955600,4188,243730300,2022
SULAWESI TENGAH,1689932000,4405,744408700,2022
SULAWESI SELATAN,10380840000,5164,5360169000,2022
SULAWESI TENGGARA,1182588000,4050,478958000,2022
GORONTALO,468234700,5129,240134500,2022
SULAWESI BARAT,693239500,5099,353513300,2022
MALUKU,239878200,3860,92601060,2022
MALUKU UTARA,64164500,3815.9999999999995,24486030,2022
PAPUA BARAT,54605900,4389,23963920,2022
PAPUA BARAT DAYA,NA,NA,NA,2022
PAPUA,497419100.00000006,3899,193943500,2022
PAPUA SELATAN,NA,NA,NA,2022
PAPUA TENGAH,NA,NA,NA,2022
PAPUA PEGUNUNGAN,NA,NA,NA,2022
ACEH,2542873800,5522,1404234820,2023
SUMATERA UTARA,4061094900,5140,2087474150,2023
SUMATERA BARAT,3005647700,4932,1482468790,2023
RIAU,519141400,3968,205972550,2023
JAMBI,612366400,4506,275941450,2023
SUMATERA SELATAN,5041430300,5619,2832773920,2023
BENGKULU,578771800,4953,286684430,2023
LAMPUNG,5301080900,5203,2757898190,2023
KEP. BANGKA BELITUNG,152845600,4349,66468890,2023
KEP. RIAU,1152700,2811,324010,2023
DKI JAKARTA,5429299.999999999,4926,2674280,2023
JAWA BARAT,15836562800,5771,9140039200,2023
JAWA TENGAH,16427612300,5530,9084107530,2023
DI YOGYAKARTA,1056936600,5053,534113689.99999994,2023
JAWA TIMUR,16980833100,5719,9710661330,2023
BANTEN,3111997300,5419,1686483290,2023
BALI,1085140600,6207,673580650,2023
NUSA TENGGARA BARAT,2875121400,5351,1538536920,2023
NUSA TENGGARA TIMUR,1846988900.0000002,4152,766810460,2023
KALIMANTAN BARAT,2240685200,3125,700290800,2023
KALIMANTAN TENGAH,1015803000,3256,330781050,2023
KALIMANTAN SELATAN,2142838200,4086,875545730,2023
KALIMANTAN TIMUR,570820100,3976,226972070,2023
KALIMANTAN UTARA,64999200,3631,23602000,2023
SULAWESI UTARA,545629500,4365,238193410,2023
SULAWESI TENGAH,1776990300,4622,821367410,2023
SULAWESI SELATAN,9677902100,5039,4876386110,2023
SULAWESI TENGGARA,1139302600,4208,479407250,2023
GORONTALO,496104700,5068,251431760,2023
SULAWESI BARAT,586066700,4973,291458590,2023
MALUKU,226366800,3532,79958340,2023
MALUKU UTARA,77090700,3459.0000000000005,26663230,2023
PAPUA BARAT,50062700.00000001,4508,22566810,2023
PAPUA BARAT DAYA,5798300,4134,2396950,2023
PAPUA,8401800,4476,3760450,2023
PAPUA SELATAN,448078600,4098,183627830,2023
PAPUA TENGAH,20942000,4428,9273220,2023
PAPUA PEGUNUNGAN,141400,4359,61630,2023
ACEH,3011963500,5511,1659966280,2024
SUMATERA UTARA,4194634800,5256,2204875510,2024
SUMATERA BARAT,2952789800,4594,1356467930,2024
RIAU,564219600,3936,222055710,2024
JAMBI,616256800,4560,281022050,2024
SUMATERA SELATAN,5210922100,5583,2909411670,2024
BENGKULU,557750900,4892,272848550,2024
LAMPUNG,5317151200,5250,2791347530,2024
KEP. BANGKA BELITUNG,182025600,4257,77489790,2024
KEP. RIAU,1133300,2692,305090,2024
DKI JAKARTA,4983100,4629,2306540,2024
JAWA BARAT,14753620900,5847,8626879910,2024
JAWA TENGAH,15547771399.999998,5719,8891297050,2024
DI YOGYAKARTA,969761300,4670,452831770,2024
JAWA TIMUR,16169850500,5733,9270435290,2024
BANTEN,2990907900,5184,1550623460,2024
BALI,1038039299.9999999,6122,635473350,2024
NUSA TENGGARA BARAT,2817178400.0000005,5159,1453408370,2024
NUSA TENGGARA TIMUR,1687272400,4195,707792540,2024
KALIMANTAN BARAT,2472077200,3094,764784150,2024
KALIMANTAN TENGAH,1110161300,3297.9999999999995,366146820,2024
KALIMANTAN SELATAN,2461124200,4183,1029567930,2024
KALIMANTAN TIMUR,630416500,3960,249642900,2024
KALIMANTAN UTARA,82820600,3632,30079770,2024
SULAWESI UTARA,591219600,4620,273134940,2024
SULAWESI TENGAH,1726062200,4414,761936390,2024
SULAWESI SELATAN,9513086000,5065,4818429390,2024
SULAWESI TENGGARA,1299996100,4276,555836080,2024
GORONTALO,469521500,5002,234862880,2024
SULAWESI BARAT,631815900,5047,318876590,2024
MALUKU,239473500,3804.9999999999995,91125350,2024
MALUKU UTARA,93667099.99999999,3334.0000000000005,31232950,2024
PAPUA BARAT,51211300,4047.9999999999995,20729150,2024
PAPUA BARAT DAYA,3638700,2717,988640,2024
PAPUA,10685700,4314,4609950,2024
PAPUA SELATAN,471685700,4617,217789620,2024
PAPUA TENGAH,14361199.999999998,4228,6072380,2024
PAPUA PEGUNUNGAN,96600,4387,42380,2024
